,id,tweets,label
1629,1629,Felt earthquake M strikes  km W of Dādu Pakistan  min ago Please report to,0
2375,2375,After injuries widespread damage from Napa quake cleanup ensues  Fresno Bee,1
5494,5494,PrayforSouthKorea PrayforChile PrayforIndonesia PrayforNepal PrayforUkraine PrayforFlores PrayforTheWorld  so man,0
2500,2500,Thankful I wasnt at my desk when the napaquake hit View of  newsroom Thoughts to everyone affected htt,0
4553,4553,US USNews Earthquake Today Aftershocks Rattle Chile as Military Keeps Order The post Earthquake Today,0
7253,7253,Earthquake survivors in Nepal urgently need help Make an emergency donation to   NepalEarthquake via,0
6652,6652,Israeli American and Canadian specialty teams dispatched to aid victims of NepalEarthquake  MilitaryMonday,0
6392,6392,How to donate to Nepal earthquake relief efforts through iTunes Facebook and more,0
931,931,Just returned from Awaran Severely miserable condition of Earth Quake victims No water no food no tents no medical still,0
305,305,USGS reports a M earthquake km WNW of The Geysers California on    UTC  quake,0
7311,7311,st Delegation of  Personnel of Shah Satnam Ji Greens Welfare Force Wing will be off to Nepal Tomorrow MSGHelpEarth,0
517,517,Silence Earth is talking   climatechange globalwarming Earthquake Hurricane Environment,0
5363,5363,USGS reports a M earthquake km N of Carson California on    UTC  quake,0
7988,7988,Less focus on Baltimore and more on Nepal,0
7878,7878,while here i am in sg complaining about the weather my prayers are with you nepal PrayForNepal,0
5136,5136,Sending prayers to chile as huuuuge earthquake hitspreparing for TsunamiI believe it was,0
1709,1709,KPKUpdates On CMs directions trucks of emergency response items  Balochistan earthquake victims sent,0
4794,4794,Now for the bad news Seismologist says Tuesdays  quake in Chile was likely not the big one,0
1905,1905,Jawbone Looks At UP Data To See How Many Were Woken Up By The Napa Earthquake Jawbone has shown one of the more interesting ways dat,0
6643,6643,Nepal calamity is opportunity for Western missionaries China aid Pakistan ISI India must send large numbers of Hindu h,0
5631,5631,Xtians Pastor arriving in Nepal r happy to see destruction asking not to rebuilt Temples   https,1
4677,4677,zaynmalik     Thanks for being my strengthx,0
6801,6801,From Delhi to Kochi Impact of Nepal earthquake across India,0
7678,7678,German France Nepal – German French Rescue Teams on Way to Nepal – A German rescue  News disaster,0
6719,6719,Verizon will waive charges for long distance calls  texts originating from the US to Nepal from April   May,0
7264,7264,Nepal earthquake Devastation in maps and images Before and after satellite images and maps  News,0
3905,3905,Urgent Prayer Request  mag earthquake with Tsunami warnings and watches for Chile Ecuador and Peru Please  ht,0
2746,2746,N California earthquake sparks major fires – snapping gas lines striking mobile home parks  is there,1
1392,1392,USGS reports a M earthquake km NW of The Geysers California on    UTC  quake,0
3071,3071,USA  NEWS   HOT NEWS  Earthquake Northern California Struck by  Magnitude Earthquake Earthquak,0
5707,5707,prayfornepal We are lighting candles tonight please take a little time off from your daily,0
5779,5779,Nepals tourism takes a massive hit  via,0
6879,6879,Support to Nepal from India,0
740,740,Small Island Emerges After Huge Pakistan Earthquake  Pakistan Earthquake,0
6581,6581,NeoBlackFolks How To Make Free Calls To And From Nepal After the devastating earthqu  NeoBlackCom,0
4645,4645,USGS Depth of Chile earthquake is  kilometers  video USD,0
1605,1605,Pakistan shaken by  magnitude earthquake  Pakistan  InnovationEducation ReutersSeptember ScienceCalling,0
404,404,earthquake M   NorthAmerica United States Hawaii Kalaoa Preliminary Earthquake Report DateTime,0
8058,8058,Shaken to the core The earthquake in Nepal is Sundays top story with the papers highlighting missing Brit,0
6746,6746,Looking for my brother and his wife in NepalMt Everest bcampAny info helpful PJNeda JahangiriNepalEarthquake http,1
5711,5711,The Gurkhas have fought for Britain for  years Its time we repaid the favour Donate here,0
441,441,BDUTT Paid journalists who always sing praise for Pakistan now have problems wid Pak cause her lie got exposed Hypocrisy  DehatiAurat,0
2697,2697,Despite damage from the earthquake tourists continue to visit Napa Valley,0
2263,2263,Napa earthquake prompts calls for early warning system shut down of nuclear plant,1
8409,8409,Earth Quake in Nepal What can we do NepalEarthquake NepalQuake Please  EarthQuake,0
3231,3231,magnitude quake shakes California,0
7035,7035,Look at these Divine Signs carefully  study them to recognise the Awaited One GoharShahi Nepal NepalEarthquake,0
82,82,Earthquake of M  km NNE of Awaran Pakistan,0
2742,2742,ਬੁਲੰਦ ਹੌਸਲੇ Only in California Skateboarders shred buckled streets in Napa after the earthquake,0
6958,6958,Photos The aftermath of Nepals deadly earthquake,0
1545,1545,Makes quake relief harder NewsweekPak Three Frontier Corps personnel killed two injured after militants attack convoy in,1
3283,3283,Residents Report Mysterious Flashes In The Sky During Napa Earthquake,0
371,371,A photo by me taken during earthquake featured in  at,0
5228,5228,BrandySolamente CHILE EAHQUAKE mag tremor leaves  dead sparks tsunami VIDEO Tsunami warning afte,1
6149,6149,MORE Nepal quake is the worst temblor to hit the poor South Asian nation in over  years  Via,0
2038,2038,Thousands of brick buildings in California are still not retrofitted and are in danger of collapse in an earthquake,0
7330,7330,From Varanasi   Nepali Swayamsevaks reached to Nepal to help Injured NepalEarthquake RSS,0
1785,1785,Death toll in fresh earthquake reaches  in Awaran Ya Allah have mercy on Pakistan,1
4763,4763,A quake of  magnitude has struck off northern Chile triggering a tsunami alert and killing at least five people http,1
1779,1779,Pakistan earthquake reportedly creates a new island,0
642,642,Troops of PakArmy and Fingers crossed were moved last night for rescue operation earthquake affected areasstrength has now risen to,0
6373,6373,The first CJ Hercules lifter laden with relief team lands in Nepal Before Private Message Modi tweets about the disasterSaluteTheForces ThankYouPM,0
3678,3678,UPDATE Strong aftershock  hits Chile Latest here,0
6084,6084,Nepal So many dead Such pain,0
5848,5848,WATCH Incredible drone footage of Nepals heritage spots shows widespread damage,1
1114,1114,Earthquake EMSC mb  SOUTH OF PANAMA Magnitude mb Region SOUTH OF PANAMADate time   Tameemi,0
5400,5400,For great  of Chile quake by colleagues including Rodrigo Abd    ht,0
7456,7456,Phones jammed in Nepal Thankfully for Whatsapp for communicating messages,1
890,890,magnitude earthquake  mi from Corona CA United States,0
7215,7215,Great news   Whatcom trekkers in Nepal reported safe,0
6437,6437,PRAY FOR NEPAL PRAY FOR BALTIMORE PRAY FOR THE OPPRESSOR PRAY FOR THE OPPRESSED PRAY FOR YOUR NEIGHBORS PRAY FOR,0
4009,4009,TXTrendyChick Theyre calling  an aftershock I call that another damn earthquake Chile Agreed,0
7185,7185,Pakistan Latest on Nepal quake  Jakarta Post New York TimesLatest on Nepal quakeJakarta PostArmy troops a,0
345,345,magnitude earthquake  mi from Alpine CA United States,0
4383,4383,Ive nerve felt so nice while being sick before I wanna go out but I dont wanna push it and get more sick Ughhh,0
605,605,to win free tix to  previews Starts Octth earthquake TidalWave DonnaSummer StevieWonder Bar,0
6934,6934,Breaks my heart to hear the real life stories of the Nepal earthquake Waiting in limbo for the flight home,0
7140,7140,TWITTER   HOTSHOT Praying that there will not be any more major damages PrayForNepal,0
7768,7768,Nepalearthquake Nepal earthquake Villages Near Nepal Earthquake s Epicenter Are Desperate as De,0
4437,4437,ChileEarthquake Time lapse image of  magnitude earthquake released by,0
6330,6330,Indian Private Message Narendra Modi speaks to Nepal Private Message Sushil Koirala Offers all assistance for quake India army Air Force on st,0
5372,5372,We are living in a world of fools breaking us down,0
548,548,Meeting this morning what to do in case of a volcano or earthquake,0
5209,5209,BREAKING  Earthquake of  magnitude registered close to Iquique in Chile USGS reports,0
2632,2632,Following a reported  earthquake in Napa California,0
2857,2857,VIDEO Major fire as quake hits California,0
4730,4730,Tsunami warning cancelled for everywhere except Chile  Peru Looks like tsunami height attenuated pretty rapidly htt,0
5508,5508,Chile assesses damage after massive quake tsunami SANTIAGO Reuters  Chilean authorities on Wednesday were,1
7067,7067,NepalEarthquake Its always d Swayamsevaks The Army Saw them doing rescue work during the JK and Garhwal floods https,0
8174,8174,time for political parties deploy their cadre in disaster relief  show humanity NepalEarthquake,0
4906,4906,Continuing news being released following earthquake in Chile this morning popcult,0
4931,4931,unicefusa UNICEF staff in Chile  Peru r monitoring needs of familiesOur thots r wppl affected by d earthquake htt,0
2541,2541,Believe it or not but the  earthquake in California did some damage at wineries all across Napa via,1
662,662,Pakistan govt releases closeup photos of island created by deadly quake,0
7773,7773,youtube Nepal earthquake  shocking pictures summarising the tragedy,0
7930,7930,YOUR ONE  MAY CAN HELP SOME ONE TO LOCATE  FIND DEAR ONE GUYS,0
6534,6534,Rescue operations in Iran Yemen or Nepal MEA has always made us proud by their mindblowing workJai ho MEAatWork h,0
8006,8006,Kathmandu exodus may reach  as residents flee postearthquake chaos,1
3818,3818,Godbless to the victims PrayForChile,0
2960,2960,Napa region wading in wine damage from quake WineWednesday,1
1112,1112,Jamshoro is just one example of how the US and Pakistan continue to partner to help Pakistan grow Richard Olsen,0
4618,4618,just saw the news about Chile I hope everyone is fine and safe PrayforChile,0
2043,2043,I wish that gay earthquake in California had killed all the transgendered people,0
3975,3975,Chile Earthquake Prompts Break Out From Womens Prison  ABC News  via,1
4868,4868,Just yesterday PrayForChile was trending now its not and everyone forgot because yall too worried about mileys dog th,0
6365,6365,The UKs NepalEarthquake  raises m,0
887,887,USGS alert M  Nevada September    GMT  earthquake tsunami prayfromjapan,0
5409,5409,zaynmalik     Whatever happens Ill always be with you,0
2161,2161,Elko Strong California quake causes injuries damage,1
6177,6177,WILL MEAN ALOT PLEASE DONT IGNORE  ὤF NEPAL,0
1240,1240,Pakistan quake death toll reaches  separatist insurgents hampering relief effortprovincial official Reuters,1
2799,2799,California earthquake aftermath Buildings destroyed over  injured  magnitude earthquake caused six si,1
2269,2269,House candidate JamesHinton FederalReserve must help rebuild NapaSonomaNorthBay c  year loans TODAY,0
246,246,Indian Private Message Manmohan Singh said Pakistan must stop being the epicentre of terrorism ahead of talks with Nawaz Sharif,0
3076,3076,Quake M  km SE of San Fernando California Tuesday August    UTCTuesday August,0
2543,2543,Jawbone UP data quantifies exactly how much sleep was lost to California earthquake,0
919,919,earthquake M  Nevada,0
6074,6074,pray for nepal May god protect them,0
338,338,BalochistanEarthquake Dont buy lies of Pakistan army media and fake liberals on twitter Read    Balochistan,0
4183,4183,Nicaragua that little South American country in between Peru and Chile just had another earthquake  http,0
8385,8385,SavetheChildren is on the ground in Nepal and needs our help to aid earthquake victims Text the word NEPAL to  now t,0
2914,2914,earthquake  earthquake  Napa earthquake Power restored to thousands cleanup contin http,1
807,807,BalochistanEarthquake victim of mother natureAnd BalochGenocide by pakistan  the silent international community,0
2608,2608,Sundays California quake is the strongest nonAlaska temblor to hit the US so far this year,0
7033,7033,Nepal desperate for supplies as death toll soars past  Shelter fuel food medicine power news worke,1
2868,2868,VIDEO California shaken by earthquake An earthquake with a magnitude of  shakes northern California caus,0
1302,1302,Earthquake M  Northern California,0
702,702,More awesome journalism from  Everything you need to know about the Pakistan earthquake in under  minutes,0
2246,2246,A  magnitude earthquake hit Northern California this weekend Are you as prepared as you should be if the big one hits BC cbc,0
3202,3202,Questions and Answers About California Earthquake,0
5030,5030,rabihayaacoub tech Chile Earthquake Leaves European Southern Observatory ESO Telescop  intelligent forbes,0
5647,5647,New Death Toll From Nepal Quake Passes  as Aftershocks Terrorize Capital,1
5087,5087,This road in Iquique Chile was torn apart by yesterdays magnitude earthquake,1
3608,3608,God is testing you by killing your family with a random geologic event keep the faith  a lot of the PrayForChile tweets,0
1208,1208,Earthquake update Army units evacuating injured and their NOKs in jeep ambulances,1
5433,5433,chileearthquake Ppl of Chile learn from Japans experience Evacuate Even if nothing happens better to be safe,0
3269,3269,Will federal aid arrive for napaquake,0
1724,1724,Humanitarian Appeal Disaster Death  Debris  Lingering Survivors of Balochistan Earthquake,0
5863,5863,A woman breastfeeds her baby as she sits amongst the rubble of her house in Majuwa Kathmandu NepalEarthquake AA http,1
3724,3724,Massive earthquake in Chile spurs tsunami  cecemcghee,0
1661,1661,Pakistani Women Pakistan Notification of electricity price hike submitted in SC,0
1481,1481,The earthquake that hit Pakistan on Tuesday unveiled a new island in the Arabian sea  Subhan Allah,0
3464,3464,California in one picture MT  Napa skaters finding upside to quake damage Photo from Jeremy Carroll http,0
1730,1730,Pakistan News Quake relief fund Private Message urges nation to donate generously,0
5809,5809,Sootradhar Different school of thoughts ThankYouPM IndiaWithNepal,0
5238,5238,Im at CC  San Miguel Lima w  others,0
8443,8443,text the word NEPAL to  to donate  dollars to earthquake relief in Nepal thousands of people are hurt and they,0
2159,2159,USA   Strong Earthquake Shakes Bay Area in California USA  An earthquake with a preliminary magn,0
7361,7361,Shiromani Gurdwara Parbandhak Committee will send  Food packets daily to Nepal IndiaWithNepal,0
5158,5158,The Chile quake struck at  local time Rest in peace those who died Regions hit by a magnitude  earthquake to be disaster areas earthquake,0
1820,1820,More than  dozen Earthquake victims mostly women and children shifted to Karachi from Awaran,1
2306,2306,California USA Riverside   earthquake  Three Critically Injured Almost  Treated At Napa Hos,1
8450,8450,The next  hrs will be critical  rescue efforts are complicated by the terrain NepalQuake,0
8220,8220,Nepalese civil society is by far the biggest responder in NepalEarthquake but once again largely ignored by internationa,0
2352,2352,California quake Recovering after  tremor,0
928,928,USGS Breaking M  km ENE of San Martin California  PastHour  earthquake tsunami prayfromjapan,0
3309,3309,BREAKING NEWS  EAHQUAKE HITS NOHERN CALIFORNIA  BREAKING NEWS  EAHQUAKE HITS,0
7414,7414,My sister left Pokhara on Wednesday for Kathmandu Please help us find her   http,1
1841,1841,Alert US Virgin Islands Earthquake Quake,0
188,188,ShakeOutTip Get earthquake alerts from the  and preparedness tips  all via the  earthquake app,0
4554,4554,Evacuation after a possible Tsunami alert  magnitude earthquake in Chile a few minutes ago PrayForChile,1
248,248,Two more islands have emerged off the Balochistan coast after the earthquake   Pakistan,0
5008,5008,Apparently it was Chiles strict building laws that prevented added damage occurring during yesterdays quakes,1
3378,3378,Six people critically injured in California earthquake,1
2374,2374,Strong California quake shakes famed wine country NAPA Calif AP  The San Francisco Bay Area  slavetrade,0
3908,3908,nicaraguaterremoto Earthquake Were not in RED ALE anymore this is EXTREME ALE TerremotoNicaragua Chile Peru Calif,0
7391,7391,Mammoth relief operation on by India on second day in quakehit NepalEarthquake Proudonindianarmy,0
2437,2437,South Napa Earthquake Woke Up Many Fitness Trackers Reveal,0
7443,7443,MannKiBaat Private Message seems to be focused and sure to help Nepal,0
4667,4667,War all over the world Earthquake in Chile Crimes going crazy Most popular story on BBC News  reversible USB,0
7671,7671,About  feared dead in the NepalQuake pray for Nepal,1
4453,4453,from california in the north to chile in south quakes and tremors latest is a  off the panama coast also felt in cos,0
688,688,USGS Breaking M  km WSW of Cantwell Alaska  PastHour  earthquake tsunami prayfromjapan,0
5041,5041,BullsZoneJason youre kidding right Until their pathetic showings lately they had leagues best record all year,0
5395,5395,Use code surfchck to save  on ordering from FLEUROP com PrayForChile,0
2750,2750,lapatilla Earthquakes in California and Peru does the megaearthquake is coming  Spanish,0
6284,6284,Did you know Seismographs near Charlotte were able to detect vibrations from NepalEarthquake More at,0
7117,7117,Hope  prayer at Everest DailyO NepalEarthquake IndianArmy doesnt let you lose hope by,0
8228,8228,Xinhua abt m affected in nepal dead A big tragedy DrJwalaGExSecularNeelakshiGswmunheardinRomeshNadirnanditathhakur,1
7323,7323,Wesner Michel Rescuers Pull Survivor From Rubble  Days After Nepal Quake  ABC News FirstpostRescuers Pull,1
4245,4245,Its a bad day when a  magnitude earthquake is an aftershock,0
29,29,USGS Breaking M  km SE of Whittier Alaska  PastHour  earthquake tsunami prayfromjapan,0
4685,4685,Massive earthquake in Chile Tsunami warnings issued for multiple countries Please recite a Fatiha for everyones safe,0
1061,1061,Death Toll in Earthquake in Pakistan Climbs To   quake earthquake,1
7166,7166,Everyone please pray for Nepal,0
5931,5931,Over  dead in Nepal so far In a matter of seconds In a sickening way climate change alarmists wish they had that count They have,1
6563,6563,My heart goes out to the people of Nepal after the deadly earthquake They are in our prayers,0
2997,2997,No Pinoys hurt in California quake –DFA,0
6634,6634,NepalQuake Despite heavy rain  completed food distributions in Gorkha District,0
4717,4717,I liked a  video  APOCALYPTIC  MegaQuake Hits Chile Tsunami Watch Extreme Weather Events,0
4611,4611,North Americans who were mystified by facebooks WhatsApp buy should see it in action in Chile in earthquake aftermath Its a,0
2941,2941,News Update Napa CA Latest information on Napa California Earthquake Earthquake NapaCA,0
2011,2011,If affected by NapaQuake  has these tips to help prevent postquake fires,0
8004,8004,Stranded Nepal Tourists Return to City in Special Flight With relief writ large on their faces  passengers who were stranded,1
1902,1902,firmenanzeige VIDEO California shaken by earthquake,0
4216,4216,peekothewingull A MASSIVE  upgraded number EAHQUAKE STRUCK CHILE AN HOUR AGO PLEASE IF YOURE,0
5054,5054,The Adidas Originals Cool Runnings track top,0
1716,1716,magnitude earthquake  mi from Alpine CA United States,0
2314,2314,Thank you for your well wishes about Napa earthquake open for business thanks to our amazing hard working staff HB http,0
3332,3332,Haha my aunt who lives in Napa slept right through the earthquake Her son said he thought the house was going to collapse,0
2796,2796,Cool big data analysis of the percentage of Bay Area sleepers woken by the Napa earthquake  http,0
2645,2645,FrancisSantana What Napa Looks Like After the Quake A strong earthquake rocked Northern California early,0
902,902,For one day please give break to IKPTI and focus on the victims of earth quake Balochistan,0
102,102,A significant earthquake was reported by the USGS M   km SSW of Acari Peru,0
2627,2627,BIBLEndComing can a adventist preacher explain California earthquake with signs of the coming of Christ,0
1100,1100,earthquake rocks southwest Pakistan again Several cities of Pakistans Sindhand Balochistan pro  pakistan,0
8224,8224,Whole nation is trying to help Nepal in every possible way  Prestitutes will never fail to show stupidity,0
5407,5407,Chile ChileEarthquake chilequake ChileEarthquakeAndTsunami chiletsunami Chile Earthquake  Po,0
385,385,asmashirazi   Pakistan Government not letting UN agencies officially respond to massive earthquake in Balochistan,0
7953,7953,More Than  Confirmed Dead in Nepal Earthquake  johnny heath corpus christi  news,1
3218,3218,The losses from Californias Napa earthquake could top  blnand yes some of thats wine,1
3556,3556,Rest easy oenophiles Napa Valley quake wont spike price of California wine,0
4363,4363,PrayForWorld PrayforSouthKorea PrayForIndonesia PrayForSinabung PrayForChile PrayForFlores PrayForMH ht,0
8331,8331,My heart goes to kathmandu in the coming times Donate to American Nepal Medical Foundation with,0
4799,4799,AUS NEWS    HOT NEWS  Chile earthquake Chile earthquake five dead tsunami hits northern coast m,1
4283,4283,Chile Panama Nicaragua Costa Rica Ecuador Peru and Colombia are in wearning because of a Tsunami im scare PrayForNi,0
5575,5575,GaryLineker Support our NepalEarthquake appeal here  and help us build back better and safer sc,0
6725,6725,Facebook Safety Check helps users locate loved ones in Nepal  via,0
1641,1641,Pakistan The quake also created a small island in the Arabian Sea Experts visited the island and found methane gas risingRE,0
1119,1119,Prayers for the people affected by might earthquake yesterday Pakistan Balochistan,0
752,752,UNO help refused by Pakistan They always Refuse They care not Death toll rises to  in quakehit Balochistan,1
867,867,USGS reports  magnitude earthquake struck at pm  miles west of DalyCity,0
2035,2035,The latest on damaging earthquake in California  New York News,0
8369,8369,MEA opens  hour Control Room for queries regarding tragic NepalEarthquake Numbers earthquake,0
6056,6056,Nepal earthquake Hamiltons Ross Prince describes bleak recovery work,0
6030,6030,I chose  to support Nepal earthquake relief You can help too,0
3568,3568,The single most California photo of all time napaquake,0
4031,4031,Congrats to the beautiful couple wedding bespoke invitation weddinginvitation chile lovemyjob,0
4274,4274,and  aftershocks hit same area of northern Chile as Tuesdays  quake  news politics IntelMM OSINT,0
4351,4351,My allah please protect and safe them PrayForChile,0
4179,4179,theres been some chaos going on around the world please keep those affected in your thoughts  prayers PrayForChile PrayForFortHood,0
2621,2621,Emergency Mgmt Napa Earthquake Showcases Limits of LowerCost Retrofitting,0
1921,1921,US California Earthquake Spurs Calls for Statewide Warning System NAPA CalifThe earthquake that jolted,0
3881,3881,I really dont have that much info about the earthquake in South America I only know it was in Chile but stay safe We lovey,0
1356,1356,donations please   Humanitarian Appeal Disaster Death  Debris  Balochistan Earthquake,0
1978,1978,Aftershocks aid are focus days after Napa earthquake As aftershocks from Sundays powerful eart  quake news,0
5719,5719,Rescue attempts continued Tuesday near the epicenter of the weekend earthquake in Nepal that killed more than,1
8078,8078,BREAKING   earthquake epicenter in Nepal Fresh tremors felt across NCR and north India as well NepalQuake,0
559,559,Terrorists HarbyarBrahamdagh enjoy CIAIndian  in UK Swiss while PakMilitary busy saving Balochistan after earthquake,0
5929,5929,List of Urgent relief material required Plz Help NepalEarthquake NepalQuakeRelief,0
285,285,Pakistan Earthquake New Island Emerges in Arabian Sea FIRST PHOTOS,0
1682,1682,At least  people have been killed in Pakistans  magnitude earthquake,1
6549,6549,Indian Army establishes  bedded hospital at LagankhelNepal NepalEarthquake OpMaitri,0
2216,2216,Winemakers mop up after Napa earthquake  Napa wine napaquake,0
4991,4991,Magnitude  Off Coast Of Tarapaca Chile iearthquakes via,0
1280,1280,Rocket attack on  Army Helicopters in Earthquake affected area in Awaran Balochistan  Sources CapitalTV,0
4071,4071,Another preliminary USGS slip model for the M Iquique N Chile earthquake This time using geodesy GPSinSAR,0
321,321,Just InSeeratsts Attacked At Army Check Post In Punjgur Balochistan Killed Five Persnl,0
4020,4020,Another earthquake in Chile  this time Tsunami Warning for Chile and Peru when will it end,0
5485,5485,Earthquakes cant shake us Lets all offer a prayer for Chile PrayForChile,0
4960,4960,What do all the other countries the US Gives money to do to help usPrayForChile,0
8479,8479,Atonce Help from India  Abroad is appreciable in NepalIndia Earthquack desater thanks them Heartly condolence for those who have no more,0
1625,1625,Earthquake Magnitude   Sea of Okhotsk,0
6012,6012,Visualizing the NepalEarthquake  The Human Side of DataScience  abdsc BigData DataViz,0
1880,1880,Bridges overpasses earn approval after Northern California quake  SFGate  earthquakesf NAPA earthquake,1
8419,8419,We have been in touch with all our Outreach teams in Nepal and they are all doing well Pray for NepalEarthquake,0
1865,1865,Earthquake M  Northern California,0
6083,6083,Precise information and visuals from outside ktm sorely missing Casualties there must be much more than from the valley NepalEarthquake,1
2520,2520,smpfilms An earthquake hit California Hope your family is alright,0
4749,4749,JamesYammouni  SickCunts u r so close to M Oh my God  sickcunts sickcunts  Plz follow me x,0
3295,3295,That wasnt an earthquake that was Beyoncé   State of emergency declared after California earthquake,0
1859,1859,Awaran mn  dead Keich mn  dead Balochistan earthquake,1
6115,6115,A yearold boy is found alive in rubble  days after NepalQuake,1
2317,2317,Napa schools to reopen quake damage tally continues,1
7452,7452,If youre worried about loved ones in Nepal this app could help,0
5649,5649,If we had had money we would have built a strong house But we had none There is no place to go Nepal,1
5337,5337,disconnected me encanta,0
2767,2767,SleepTracking Data Shows Who Was Jolted Awake By The Napa Earthquake fastcompany,0
